bin,low,high,numu_flux,numubar_flux,nue_flux,nuebar_flux
121,6.050000000000001,6.1000000000000005,921792.7000865936,57123.662311553955,22855.315989494324,8410.023444652557
122,6.1000000000000005,6.15,911289.0217285156,111321.8056678772,25309.112952709198,10144.380232334137
123,6.15,6.2,917863.6694850922,51589.966636657715,23248.28184890747,9351.031606197357
124,6.2,6.25,849739.2882118225,116047.59422111511,20707.308405399323,6816.73680973053
125,6.25,6.300000000000001,825338.5377902985,75637.67873382568,19372.53346014023,7011.564091205597
126,6.300000000000001,6.3500000000000005,827198.9802837372,59395.863189697266,20592.336505413055,7695.376750469208
127,6.3500000000000005,6.4,789971.2334346771,46411.687744140625,19607.655143260956,8548.203547477722
128,6.4,6.45,788656.30626297,74977.1538066864,18143.29902458191,7147.513741016388
129,6.45,6.5,762613.4070415497,45438.20610809326,18106.012712478638,7175.778681278229
130,6.5,6.550000000000001,733698.4855957031,46694.35356903076,15865.999036312103,6002.639492034912
131,6.550000000000001,6.6000000000000005,657380.1822662354,48995.764430999756,16482.498299598694,6571.0774269104
132,6.6000000000000005,6.65,671543.0055561066,95882.08341407776,17470.74663591385,7021.495151519775
133,6.65,6.7,728227.6015663147,90514.87745285034,15047.296238422394,6269.009546756744
134,6.7,6.75,638963.4749794006,38969.00415992737,14938.212371349335,5014.5613741874695
135,6.75,6.800000000000001,592306.6251029968,51163.04639625549,16289.25028181076,8070.836889743805
136,6.800000000000001,6.8500000000000005,593502.3171234131,38645.182846069336,13344.728403568268,5323.8837513923645
137,6.8500000000000005,6.9,570272.1321659088,37744.48245048523,18191.832545757294,8383.235618114471
138,6.9,6.95,651315.2988529205,46242.9985332489,12264.099900722504,5102.236916065216
139,6.95,7.0,553175.0388183594,48575.323612213135,14839.190004348755,7932.462673187256
140,7.0,7.050000000000001,557393.9617576599,67360.91704940796,11040.297719955444,4480.788920879364
141,7.050000000000001,7.1000000000000005,520595.13168525696,40123.132148742676,10152.350179195404,3962.3642320632935
142,7.1000000000000005,7.15,523371.1109237671,62338.34917449951,12072.537700653076,4894.274889945984
143,7.15,7.2,471250.59421920776,37129.04331970215,10705.385348320007,4517.399147033691
144,7.2,7.25,479344.6729888916,32580.775661468506,10559.909850120544,4543.1066818237305
145,7.25,7.300000000000001,438875.74343299866,31804.92879486084,10801.689974784851,5127.924382209778
146,7.300000000000001,7.3500000000000005,491316.6094970703,62037.11587905884,9993.005704402924,4603.300004005432
147,7.3500000000000005,7.4,470782.6839828491,35603.25180053711,9861.522890090942,4290.5785365104675
148,7.4,7.45,437305.2146549225,30878.85627746582,9177.131624221802,3752.1464500427246
149,7.45,7.5,431808.55765914917,32128.58443069458,10105.001765727997,4731.870773792267
150,7.5,7.550000000000001,419028.6478424072,27921.29887008667,8764.771897792816,3439.9010314941406
151,7.550000000000001,7.6000000000000005,396470.54302215576,30182.606826782227,7652.564683437347,2419.5474305152893
152,7.6000000000000005,7.65,408644.8396720886,26926.28515625,7699.725903511047,3810.0794472694397
153,7.65,7.7,401232.41273880005,27468.57841873169,8431.86538887024,3890.503523349762
154,7.7,7.75,383558.7583389282,27723.053630828857,8661.546915531158,3838.2801370620728
155,7.75,7.800000000000001,371189.7494812012,24988.26544189453,8846.811451911926,4299.627786159515
156,7.800000000000001,7.8500000000000005,346803.11973953247,27157.1512260437,7201.8708572387695,3354.336696624756
157,7.8500000000000005,7.9,339818.3704986572,29044.91665649414,6620.37540769577,3518.7155470848083
158,7.9,7.95,350130.3293457031,29647.158447265625,5001.534309387207,2095.838809967041
159,7.95,8.0,311919.8914718628,30591.62244796753,6668.895472049713,2833.7542037963867
160,8.0,8.05,288435.78089523315,21274.46702194214,6904.435636043549,2592.100576877594
161,8.05,8.1,308833.4452133179,22050.088901519775,4222.329485416412,1928.4165840148926
162,8.1,8.15,312222.8372192383,21021.696685791016,5952.260259628296,2969.092568874359
163,8.15,8.200000000000001,282953.9087715149,22138.376529693604,5656.280025959015,2293.8998017311096
164,8.200000000000001,8.25,279337.325088501,22630.163635253906,6180.150642871857,3161.8474946022034
165,8.25,8.3,267143.22986221313,52441.80107116699,4386.357862949371,2577.436502456665
166,8.3,8.35,262989.3283729553,53219.7057762146,4205.902963638306,616.485357761383
167,8.35,8.4,284569.9928665161,22224.059455871582,5634.315048217773,3119.8924646377563
168,8.4,8.450000000000001,261027.90454101562,20776.35319519043,3892.9131813049316,1068.352063179016
169,8.450000000000001,8.5,279983.0732803345,14733.672382354736,4840.036252975464,1734.0071601867676
170,8.5,8.55,223695.35976409912,15197.787979125977,3814.3359899520874,1829.4259700775146
171,8.55,8.6,231358.96808242798,17015.964233398438,3286.3074836730957,613.9575300216675
172,8.6,8.65,241672.14612197876,24009.788078308105,3857.9537992477417,2567.5169973373413
173,8.65,8.700000000000001,247212.46256637573,21952.445377349854,3280.54092502594,1510.3894958496094
174,8.700000000000001,8.75,226474.0909767151,18447.84814453125,3923.519419670105,1939.411521911621
175,8.75,8.8,195609.62399673462,19736.677444458008,4545.448115348816,1954.8309783935547
176,8.8,8.85,203133.5104522705,13878.482849121094,3988.6779956817627,1854.6856813430786
177,8.85,8.9,195557.03007507324,18385.756267547607,4311.155571937561,2233.2600355148315
178,8.9,8.950000000000001,188571.1841621399,17849.459838867188,2614.6725692749023,1121.518232345581
179,8.950000000000001,9.0,190673.10287094116,20216.48699951172,2150.446032524109,361.69544887542725
180,9.0,9.05,181745.8051071167,17478.76662826538,3456.5286922454834,1395.4188022613525
181,9.05,9.1,163945.18392562866,16680.91943359375,3871.506296157837,1739.7460279464722
182,9.1,9.15,179016.44640731812,17152.221649169922,1993.3999185562134,252.59144592285156
183,9.15,9.200000000000001,187637.16562271118,9795.67259979248,2991.0978355407715,1176.7129535675049
184,9.200000000000001,9.25,153219.32376480103,11569.171478271484,2196.7582845687866,383.9748363494873
185,9.25,9.3,147778.99032592773,55424.21025085449,2597.0233221054077,805.407205581665
186,9.3,9.35,145966.79796600342,11947.47900390625,2575.938982963562,1201.4891204833984
187,9.35,9.4,152568.0134048462,12467.37395477295,2345.3035621643066,1245.289288520813
188,9.4,9.450000000000001,155036.58310699463,9054.928657531738,2396.5689010620117,1090.2276334762573
