   K     RHOKS_109     RHOKD_109     RHOK_109
 16.2     2.1469E-13  5.5442E-13     7.6911E-13
 16.3     2.2588E-14  7.3673E-13     7.5932E-13
 16.4     1.765E-14   8.8745E-13     9.051E-13
 16.5     1.4889E-13  9.9628E-13     1.1452E-12
 16.6     3.7076E-13  1.0589E-12     1.4297E-12
 16.7     6.4396E-13  1.0758E-12     1.7198E-12
 16.8     9.3586E-13  1.0511E-12     1.9869E-12
 16.9     1.2205E-12  9.9087E-13     2.2114E-12
 17       1.4783E-12  9.028E-13      2.3811E-12
 17.1     1.6954E-12  7.9511E-13     2.4905E-12
 17.2     1.8635E-12  6.761E-13      2.5396E-12
 17.3     1.9786E-12  5.5345E-13     2.5321E-12
 17.4     2.0403E-12  4.3382E-13     2.4742E-12
 17.5     2.0513E-12  3.2279E-13     2.3741E-12
 17.6     2.0162E-12  2.2482E-13     2.241E-12
 17.7     1.9414E-12  1.4308E-13     2.0845E-12
 17.8     1.8341E-12  7.9421E-14     1.9135E-12
 17.9     1.7016E-12  3.4605E-14     1.7362E-12
 18       1.5513E-12  8.4657E-15     1.5598E-12
 18.1     1.3903E-12  6.6149E-19     1.3903E-12
 18.2     1.225E-12   7.5229E-15     1.2325E-12
 18.3     1.0608E-12  2.8899E-14     1.0897E-12
 18.4     9.0228E-13  6.1701E-14     9.6398E-13
 18.5     7.5319E-13  1.0329E-13     8.5648E-13
 18.6     6.1623E-13  1.5101E-13     7.6724E-13
 18.7     4.9323E-13  2.0235E-13     6.9557E-13
 18.8     3.8522E-13  2.5497E-13     6.402E-13
 18.9     2.9255E-13  3.0672E-13     5.9927E-13
 19       2.1497E-13  3.5568E-13     5.7066E-13
 19.1     1.5176E-13  4.0042E-13     5.5218E-13
 19.2     1.0183E-13  4.3983E-13     5.4167E-13
 19.3     6.3851E-14  4.7304E-13     5.3689E-13
 19.4     3.6334E-14  4.9938E-13     5.3571E-13
 19.5     1.7723E-14  5.1862E-13     5.3634E-13
 19.6     6.4614E-15  5.309E-13      5.3736E-13
 19.7     1.0536E-15  5.3645E-13     5.3751E-13
 19.8     1.1251E-16  5.3557E-13     5.3568E-13
 19.9     2.3857E-15  5.2873E-13     5.3111E-13
 20       6.7784E-15  5.1668E-13     5.2346E-13
