    W        Theta    pip-p
 1230.0000   40.0000  0.9161E+00
 1230.0000   50.0000  0.7947E+00
 1230.0000   60.0000  0.6881E+00
 1230.0000   70.0000  0.6001E+00
 1230.0000   80.0000  0.5301E+00
 1230.0000   90.0000  0.4754E+00
 1230.0000  100.0000  0.4332E+00
 1230.0000  110.0000  0.4009E+00
 1230.0000  120.0000  0.3760E+00
 1230.0000  130.0000  0.3563E+00
 1230.0000  140.0000  0.3402E+00
 1230.0000  150.0000  0.3264E+00
 1230.0000  160.0000  0.3152E+00
 1230.0000  170.0000  0.3075E+00
 1230.0000  179.9000  0.3048E+00
 1240.0000    0.1000  0.1321E+01
 1240.0000   10.0000  0.1290E+01
 1240.0000   20.0000  0.1205E+01
 1240.0000   30.0000  0.1085E+01
 1240.0000   40.0000  0.9524E+00
 1240.0000   50.0000  0.8248E+00
 1240.0000   60.0000  0.7133E+00
 1240.0000   70.0000  0.6213E+00
 1240.0000   80.0000  0.5480E+00
 1240.0000   90.0000  0.4907E+00
 1240.0000  100.0000  0.4465E+00
 1240.0000  110.0000  0.4128E+00
 1240.0000  120.0000  0.3873E+00
 1240.0000  130.0000  0.3676E+00
 1240.0000  140.0000  0.3516E+00
 1240.0000  150.0000  0.3381E+00
 1240.0000  160.0000  0.3269E+00
 1240.0000  170.0000  0.3192E+00
 1240.0000  179.9000  0.3165E+00
 1250.0000    0.1000  0.1373E+01
 1250.0000   10.0000  0.1341E+01
 1250.0000   20.0000  0.1252E+01
 1250.0000   30.0000  0.1125E+01
 1250.0000   40.0000  0.9861E+00
 1250.0000   50.0000  0.8529E+00
 1250.0000   60.0000  0.7368E+00
 1250.0000   70.0000  0.6411E+00
 1250.0000   80.0000  0.5646E+00
 1250.0000   90.0000  0.5046E+00
 1250.0000  100.0000  0.4584E+00
 1250.0000  110.0000  0.4233E+00
 1250.0000  120.0000  0.3973E+00
 1250.0000  130.0000  0.3776E+00
 1250.0000  140.0000  0.3620E+00
 1250.0000  150.0000  0.3488E+00
 1250.0000  160.0000  0.3379E+00
 1250.0000  170.0000  0.3302E+00
 1250.0000  179.9000  0.3274E+00
 1260.0000    0.1000  0.1421E+01
 1260.0000   10.0000  0.1387E+01
 1260.0000   20.0000  0.1294E+01
 1260.0000   30.0000  0.1162E+01
 1260.0000   40.0000  0.1017E+01
 1260.0000   50.0000  0.8792E+00
 1260.0000   60.0000  0.7589E+00
 1260.0000   70.0000  0.6597E+00
 1260.0000   80.0000  0.5800E+00
 1260.0000   90.0000  0.5173E+00
 1260.0000  100.0000  0.4688E+00
 1260.0000  110.0000  0.4325E+00
 1260.0000  120.0000  0.4060E+00
 1260.0000  130.0000  0.3865E+00
 1260.0000  140.0000  0.3714E+00
 1260.0000  150.0000  0.3588E+00
 1260.0000  160.0000  0.3481E+00
 1260.0000  170.0000  0.3406E+00
 1260.0000  179.9000  0.3378E+00
 1270.0000    0.1000  0.1463E+01
 1270.0000   10.0000  0.1428E+01
 1270.0000   20.0000  0.1331E+01
 1270.0000   30.0000  0.1195E+01
 1270.0000   40.0000  0.1046E+01
 1270.0000   50.0000  0.9037E+00
 1270.0000   60.0000  0.7797E+00
 1270.0000   70.0000  0.6771E+00
 1270.0000   80.0000  0.5943E+00
 1270.0000   90.0000  0.5287E+00
 1270.0000  100.0000  0.4780E+00
 1270.0000  110.0000  0.4404E+00
 1270.0000  120.0000  0.4134E+00
 1270.0000  130.0000  0.3943E+00
 1270.0000  140.0000  0.3799E+00
 1270.0000  150.0000  0.3679E+00
 1270.0000  160.0000  0.3577E+00
 1270.0000  170.0000  0.3504E+00
 1270.0000  179.9000  0.3476E+00
 1280.0000    0.1000  0.1500E+01
 1280.0000   10.0000  0.1464E+01
 1280.0000   20.0000  0.1364E+01
 1280.0000   30.0000  0.1225E+01
 1280.0000   40.0000  0.1072E+01
 1280.0000   50.0000  0.9269E+00
 1280.0000   60.0000  0.7996E+00
 1280.0000   70.0000  0.6937E+00
 1280.0000   80.0000  0.6076E+00
 1280.0000   90.0000  0.5391E+00
 1280.0000  100.0000  0.4862E+00
 1280.0000  110.0000  0.4472E+00
 1280.0000  120.0000  0.4200E+00
 1280.0000  130.0000  0.4013E+00
 1280.0000  140.0000  0.3877E+00
 1280.0000  150.0000  0.3765E+00
 1280.0000  160.0000  0.3668E+00
 1280.0000  170.0000  0.3597E+00
 1280.0000  179.9000  0.3570E+00
 1290.0000    0.1000  0.1531E+01
 1290.0000   10.0000  0.1494E+01
 1290.0000   20.0000  0.1394E+01
 1290.0000   30.0000  0.1252E+01
 1290.0000   40.0000  0.1097E+01
 1290.0000   50.0000  0.9488E+00
 1290.0000   60.0000  0.8187E+00
 1290.0000   70.0000  0.7095E+00
 1290.0000   80.0000  0.6202E+00
 1290.0000   90.0000  0.5486E+00
 1290.0000  100.0000  0.4933E+00
 1290.0000  110.0000  0.4531E+00
 1290.0000  120.0000  0.4256E+00
 1290.0000  130.0000  0.4075E+00
 1290.0000  140.0000  0.3949E+00
 1290.0000  150.0000  0.3846E+00
 1290.0000  160.0000  0.3756E+00
 1290.0000  170.0000  0.3688E+00
 1290.0000  179.9000  0.3662E+00
 1300.0000    0.1000  0.1557E+01
 1300.0000   10.0000  0.1520E+01
 1300.0000   20.0000  0.1418E+01
 1300.0000   30.0000  0.1276E+01
 1300.0000   40.0000  0.1119E+01
 1300.0000   50.0000  0.9694E+00
 1300.0000   60.0000  0.8369E+00
 1300.0000   70.0000  0.7247E+00
 1300.0000   80.0000  0.6320E+00
 1300.0000   90.0000  0.5572E+00
 1300.0000  100.0000  0.4996E+00
 1300.0000  110.0000  0.4581E+00
 1300.0000  120.0000  0.4305E+00
 1300.0000  130.0000  0.4131E+00
 1300.0000  140.0000  0.4015E+00
 1300.0000  150.0000  0.3923E+00
 1300.0000  160.0000  0.3839E+00
 1300.0000  170.0000  0.3775E+00
 1300.0000  179.9000  0.3750E+00
 1310.0000    0.1000  0.1577E+01
 1310.0000   10.0000  0.1540E+01
 1310.0000   20.0000  0.1439E+01
 1310.0000   30.0000  0.1297E+01
 1310.0000   40.0000  0.1140E+01
 1310.0000   50.0000  0.9888E+00
 1310.0000   60.0000  0.8543E+00
 1310.0000   70.0000  0.7392E+00
 1310.0000   80.0000  0.6431E+00
 1310.0000   90.0000  0.5650E+00
 1310.0000  100.0000  0.5049E+00
 1310.0000  110.0000  0.4622E+00
 1310.0000  120.0000  0.4346E+00
 1310.0000  130.0000  0.4180E+00
 1310.0000  140.0000  0.4077E+00
 1310.0000  150.0000  0.3996E+00
 1310.0000  160.0000  0.3921E+00
 1310.0000  170.0000  0.3860E+00
 1310.0000  179.9000  0.3836E+00
 1320.0000    0.1000  0.1591E+01
 1320.0000   10.0000  0.1555E+01
 1320.0000   20.0000  0.1455E+01
