    W        Theta    pip-n       pi0-p
 1240.0000   60.0000  0.3361E-01  0.3325E+00
 1240.0000   70.0000  0.2980E-01  0.2908E+00
 1240.0000   80.0000  0.2395E-01  0.2621E+00
 1240.0000   90.0000  0.1812E-01  0.2463E+00
 1240.0000  100.0000  0.1540E-01  0.2427E+00
 1240.0000  110.0000  0.1895E-01  0.2505E+00
 1240.0000  120.0000  0.3083E-01  0.2687E+00
 1240.0000  130.0000  0.5094E-01  0.2958E+00
 1240.0000  140.0000  0.7679E-01  0.3288E+00
 1240.0000  150.0000  0.1042E+00  0.3633E+00
 1240.0000  160.0000  0.1283E+00  0.3937E+00
 1240.0000  170.0000  0.1447E+00  0.4146E+00
 1240.0000  179.9000  0.1505E+00  0.4221E+00
 1250.0000    0.1000  0.2304E-01  0.6842E+00
 1250.0000   10.0000  0.2462E-01  0.6680E+00
 1250.0000   20.0000  0.2885E-01  0.6228E+00
 1250.0000   30.0000  0.3440E-01  0.5576E+00
 1250.0000   40.0000  0.3951E-01  0.4841E+00
 1250.0000   50.0000  0.4254E-01  0.4127E+00
 1250.0000   60.0000  0.4233E-01  0.3511E+00
 1250.0000   70.0000  0.3849E-01  0.3029E+00
 1250.0000   80.0000  0.3162E-01  0.2692E+00
 1250.0000   90.0000  0.2369E-01  0.2495E+00
 1250.0000  100.0000  0.1793E-01  0.2425E+00
 1250.0000  110.0000  0.1800E-01  0.2475E+00
 1250.0000  120.0000  0.2648E-01  0.2635E+00
 1250.0000  130.0000  0.4368E-01  0.2887E+00
 1250.0000  140.0000  0.6731E-01  0.3204E+00
 1250.0000  150.0000  0.9314E-01  0.3541E+00
 1250.0000  160.0000  0.1162E+00  0.3842E+00
 1250.0000  170.0000  0.1321E+00  0.4051E+00
 1250.0000  179.9000  0.1377E+00  0.4126E+00
 1260.0000    0.1000  0.3109E-01  0.7566E+00
 1260.0000   10.0000  0.3290E-01  0.7377E+00
 1260.0000   20.0000  0.3772E-01  0.6852E+00
 1260.0000   30.0000  0.4400E-01  0.6098E+00
 1260.0000   40.0000  0.4982E-01  0.5250E+00
 1260.0000   50.0000  0.5343E-01  0.4432E+00
 1260.0000   60.0000  0.5355E-01  0.3727E+00
 1260.0000   70.0000  0.4951E-01  0.3176E+00
 1260.0000   80.0000  0.4155E-01  0.2786E+00
 1260.0000   90.0000  0.3144E-01  0.2547E+00
