    W        Theta    pi0-p       pip-n
 1600.0000   60.0000  0.8305E+00  0.6381E-01
 1600.0000   70.0000  0.5713E+00  0.1031E+00
 1600.0000   80.0000  0.3310E+00  0.1146E+00
 1600.0000   90.0000  0.1847E+00  0.8242E-01
 1600.0000  100.0000  0.1627E+00  0.7889E-01
 1600.0000  110.0000  0.2175E+00  0.1999E+00
 1600.0000  120.0000  0.2677E+00  0.4729E+00
 1600.0000  130.0000  0.2669E+00  0.8022E+00
 1600.0000  140.0000  0.2338E+00  0.1004E+01
 1600.0000  150.0000  0.2204E+00  0.9276E+00
 1600.0000  160.0000  0.2541E+00  0.5918E+00
 1600.0000  170.0000  0.3104E+00  0.2057E+00
 1600.0000  179.9000  0.3377E+00  0.3663E-01
 1610.0000    0.1000  0.3541E+01  0.2205E+01
 1610.0000   10.0000  0.3293E+01  0.1995E+01
 1610.0000   20.0000  0.2682E+01  0.1457E+01
 1610.0000   30.0000  0.1997E+01  0.8204E+00
 1610.0000   40.0000  0.1460E+01  0.3173E+00
 1610.0000   50.0000  0.1102E+01  0.7006E-01
 1610.0000   60.0000  0.8262E+00  0.4607E-01
 1610.0000   70.0000  0.5578E+00  0.1112E+00
 1610.0000   80.0000  0.3206E+00  0.1386E+00
 1610.0000   90.0000  0.1892E+00  0.1003E+00
 1610.0000  100.0000  0.1932E+00  0.7891E-01
 1610.0000  110.0000  0.2776E+00  0.1935E+00
 1610.0000  120.0000  0.3493E+00  0.4872E+00
 1610.0000  130.0000  0.3540E+00  0.8590E+00
 1610.0000  140.0000  0.3113E+00  0.1100E+01
 1610.0000  150.0000  0.2813E+00  0.1035E+01
 1610.0000  160.0000  0.3004E+00  0.6767E+00
 1610.0000  170.0000  0.3481E+00  0.2556E+00
 1610.0000  179.9000  0.3728E+00  0.6995E-01
 1620.0000    0.1000  0.4231E+01  0.2621E+01
 1620.0000   10.0000  0.3920E+01  0.2370E+01
 1620.0000   20.0000  0.3150E+01  0.1727E+01
 1620.0000   30.0000  0.2279E+01  0.9606E+00
 1620.0000   40.0000  0.1589E+01  0.3541E+00
 1620.0000   50.0000  0.1138E+01  0.5909E-01
 1620.0000   60.0000  0.8199E+00  0.4014E-01
 1620.0000   70.0000  0.5384E+00  0.1333E+00
 1620.0000   80.0000  0.3047E+00  0.1773E+00
 1620.0000   90.0000  0.1904E+00  0.1287E+00
 1620.0000  100.0000  0.2232E+00  0.8285E-01
 1620.0000  110.0000  0.3405E+00  0.1863E+00
 1620.0000  120.0000  0.4377E+00  0.5012E+00
 1620.0000  130.0000  0.4518E+00  0.9201E+00
 1620.0000  140.0000  0.4025E+00  0.1206E+01
 1620.0000  150.0000  0.3571E+00  0.1156E+01
 1620.0000  160.0000  0.3610E+00  0.7755E+00
 1620.0000  170.0000  0.3990E+00  0.3183E+00
 1620.0000  179.9000  0.4205E+00  0.1155E+00
 1630.0000    0.1000  0.5042E+01  0.3125E+01
 1630.0000   10.0000  0.4661E+01  0.2827E+01
 1630.0000   20.0000  0.3711E+01  0.2062E+01
 1630.0000   30.0000  0.2623E+01  0.1147E+01
 1630.0000   40.0000  0.1751E+01  0.4184E+00
 1630.0000   50.0000  0.1182E+01  0.6386E-01
 1630.0000   60.0000  0.8060E+00  0.4631E-01
 1630.0000   70.0000  0.5074E+00  0.1681E+00
 1630.0000   80.0000  0.2802E+00  0.2279E+00
 1630.0000   90.0000  0.1880E+00  0.1648E+00
 1630.0000  100.0000  0.2538E+00  0.8849E-01
 1630.0000  110.0000  0.4076E+00  0.1765E+00
 1630.0000  120.0000  0.5341E+00  0.5116E+00
 1630.0000  130.0000  0.5618E+00  0.9795E+00
 1630.0000  140.0000  0.5082E+00  0.1314E+01
 1630.0000  150.0000  0.4464E+00  0.1282E+01
 1630.0000  160.0000  0.4310E+00  0.8844E+00
 1630.0000  170.0000  0.4545E+00  0.3949E+00
 1630.0000  179.9000  0.4709E+00  0.1765E+00
 1640.0000    0.1000  0.5927E+01  0.3654E+01
 1640.0000   10.0000  0.5474E+01  0.3309E+01
 1640.0000   20.0000  0.4337E+01  0.2420E+01
 1640.0000   30.0000  0.3018E+01  0.1351E+01
 1640.0000   40.0000  0.1939E+01  0.4970E+00
 1640.0000   50.0000  0.1228E+01  0.8111E-01
 1640.0000   60.0000  0.7803E+00  0.6500E-01
 1640.0000   70.0000  0.4613E+00  0.2151E+00
 1640.0000   80.0000  0.2452E+00  0.2880E+00
 1640.0000   90.0000  0.1809E+00  0.2053E+00
 1640.0000  100.0000  0.2823E+00  0.9295E-01
 1640.0000  110.0000  0.4732E+00  0.1606E+00
 1640.0000  120.0000  0.6313E+00  0.5110E+00
 1640.0000  130.0000  0.6769E+00  0.1024E+01
 1640.0000  140.0000  0.6226E+00  0.1406E+01
 1640.0000  150.0000  0.5430E+00  0.1399E+01
 1640.0000  160.0000  0.5016E+00  0.9976E+00
 1640.0000  170.0000  0.5029E+00  0.4907E+00
 1640.0000  179.9000  0.5106E+00  0.2629E+00
 1650.0000    0.1000  0.6794E+01  0.4114E+01
 1650.0000   10.0000  0.6277E+01  0.3728E+01
 1650.0000   20.0000  0.4971E+01  0.2732E+01
 1650.0000   30.0000  0.3432E+01  0.1532E+01
 1650.0000   40.0000  0.2143E+01  0.5710E+00
 1650.0000   50.0000  0.1276E+01  0.1064E+00
 1650.0000   60.0000  0.7420E+00  0.9630E-01
 1650.0000   70.0000  0.4000E+00  0.2724E+00
 1650.0000   80.0000  0.2010E+00  0.3528E+00
 1650.0000   90.0000  0.1697E+00  0.2459E+00
 1650.0000  100.0000  0.3059E+00  0.9525E-01
 1650.0000  110.0000  0.5297E+00  0.1386E+00
 1650.0000  120.0000  0.7180E+00  0.4945E+00
 1650.0000  130.0000  0.7859E+00  0.1037E+01
 1650.0000  140.0000  0.7361E+00  0.1457E+01
 1650.0000  150.0000  0.6381E+00  0.1484E+01
 1650.0000  160.0000  0.5622E+00  0.1104E+01
 1650.0000  170.0000  0.5306E+00  0.6089E+00
 1650.0000  179.9000  0.5249E+00  0.3846E+00
 1660.0000    0.1000  0.7503E+01  0.4389E+01
 1660.0000   10.0000  0.6944E+01  0.3978E+01
 1660.0000   20.0000  0.5521E+01  0.2917E+01
 1660.0000   30.0000  0.3814E+01  0.1638E+01
 1660.0000   40.0000  0.2343E+01  0.6177E+00
 1660.0000   50.0000  0.1323E+01  0.1332E+00
 1660.0000   60.0000  0.6978E+00  0.1374E+00
 1660.0000   70.0000  0.3316E+00  0.3336E+00
 1660.0000   80.0000  0.1539E+00  0.4131E+00
 1660.0000   90.0000  0.1571E+00  0.2803E+00
 1660.0000  100.0000  0.3208E+00  0.9536E-01
 1660.0000  110.0000  0.5659E+00  0.1141E+00
 1660.0000  120.0000  0.7782E+00  0.4604E+00
 1660.0000  130.0000  0.8713E+00  0.1006E+01
 1660.0000  140.0000  0.8334E+00  0.1444E+01
 1660.0000  150.0000  0.7200E+00  0.1509E+01
 1660.0000  160.0000  0.6043E+00  0.1184E+01
 1660.0000  170.0000  0.5306E+00  0.7404E+00
 1660.0000  179.9000  0.5069E+00  0.5376E+00
 1670.0000    0.1000  0.7917E+01  0.4396E+01
 1670.0000   10.0000  0.7348E+01  0.3984E+01
 1670.0000   20.0000  0.5888E+01  0.2919E+01
 1670.0000   30.0000  0.4100E+01  0.1637E+01
 1670.0000   40.0000  0.2511E+01  0.6214E+00
 1670.0000   50.0000  0.1369E+01  0.1547E+00
 1670.0000   60.0000  0.6600E+00  0.1809E+00
 1670.0000   70.0000  0.2705E+00  0.3873E+00
 1670.0000   80.0000  0.1141E+00  0.4568E+00
 1670.0000   90.0000  0.1467E+00  0.3011E+00
 1670.0000  100.0000  0.3245E+00  0.9372E-01
 1670.0000  110.0000  0.5735E+00  0.9233E-01
 1670.0000  120.0000  0.7977E+00  0.4124E+00
 1670.0000  130.0000  0.9156E+00  0.9271E+00
 1670.0000  140.0000  0.8976E+00  0.1353E+01
 1670.0000  150.0000  0.7775E+00  0.1454E+01
 1670.0000  160.0000  0.6260E+00  0.1213E+01
 1670.0000  170.0000  0.5096E+00  0.8597E+00
 1670.0000  179.9000  0.4671E+00  0.6958E+00
 1680.0000    0.1000  0.7991E+01  0.4149E+01
 1680.0000   10.0000  0.7444E+01  0.3758E+01
 1680.0000   20.0000  0.6025E+01  0.2748E+01
 1680.0000   30.0000  0.4253E+01  0.1536E+01
 1680.0000   40.0000  0.2628E+01  0.5850E+00
 1680.0000   50.0000  0.1414E+01  0.1661E+00
 1680.0000   60.0000  0.6414E+00  0.2157E+00
 1680.0000   70.0000  0.2312E+00  0.4204E+00
 1680.0000   80.0000  0.9062E-01  0.4734E+00
 1680.0000   90.0000  0.1424E+00  0.3036E+00
 1680.0000  100.0000  0.3193E+00  0.9098E-01
 1680.0000  110.0000  0.5549E+00  0.7845E-01
 1680.0000  120.0000  0.7770E+00  0.3606E+00
 1680.0000  130.0000  0.9140E+00  0.8147E+00
 1680.0000  140.0000  0.9208E+00  0.1199E+01
 1680.0000  150.0000  0.8065E+00  0.1324E+01
 1680.0000  160.0000  0.6336E+00  0.1179E+01
 1680.0000  170.0000  0.4858E+00  0.9358E+00
 1680.0000  179.9000  0.4286E+00  0.8208E+00
 1690.0000    0.1000  0.7718E+01  0.3664E+01
 1690.0000   10.0000  0.7216E+01  0.3315E+01
 1690.0000   20.0000  0.5904E+01  0.2413E+01
 1690.0000   30.0000  0.4238E+01  0.1333E+01
 1690.0000   40.0000  0.2665E+01  0.4984E+00
 1690.0000   50.0000  0.1443E+01  0.1532E+00
 1690.0000   60.0000  0.6417E+00  0.2291E+00
 1690.0000   70.0000  0.2165E+00  0.4253E+00
 1690.0000   80.0000  0.8015E-01  0.4605E+00
 1690.0000   90.0000  0.1333E+00  0.2862E+00
 1690.0000  100.0000  0.2915E+00  0.8317E-01
 1690.0000  110.0000  0.4975E+00  0.6861E-01
 1690.0000  120.0000  0.7044E+00  0.3090E+00
 1690.0000  130.0000  0.8545E+00  0.6880E+00
 1690.0000  140.0000  0.8923E+00  0.1013E+01
 1690.0000  150.0000  0.8036E+00  0.1150E+01
 1690.0000  160.0000  0.6374E+00  0.1096E+01
 1690.0000  170.0000  0.4830E+00  0.9646E+00
 1690.0000  179.9000  0.4209E+00  0.8993E+00
 1700.0000    0.1000  0.7291E+01  0.3121E+01
 1700.0000   10.0000  0.6837E+01  0.2822E+01
 1700.0000   20.0000  0.5644E+01  0.2048E+01
 1700.0000   30.0000  0.4108E+01  0.1125E+01
 1700.0000   40.0000  0.2623E+01  0.4248E+00
 1700.0000   50.0000  0.1433E+01  0.1618E+00
 1700.0000   60.0000  0.6304E+00  0.2639E+00
 1700.0000   70.0000  0.2040E+00  0.4481E+00
 1700.0000   80.0000  0.7610E-01  0.4620E+00
 1700.0000   90.0000  0.1332E+00  0.2802E+00
 1700.0000  100.0000  0.2758E+00  0.8311E-01
 1700.0000  110.0000  0.4515E+00  0.6244E-01
 1700.0000  120.0000  0.6337E+00  0.2595E+00
 1700.0000  130.0000  0.7803E+00  0.5667E+00
 1700.0000  140.0000  0.8332E+00  0.8395E+00
 1700.0000  150.0000  0.7641E+00  0.9934E+00
 1700.0000  160.0000  0.6102E+00  0.1029E+01
 1700.0000  170.0000  0.4595E+00  0.1004E+01
 1700.0000  179.9000  0.3977E+00  0.9857E+00
 1710.0000    0.1000  0.6891E+01  0.2645E+01
 1710.0000   10.0000  0.6478E+01  0.2393E+01
 1710.0000   20.0000  0.5391E+01  0.1739E+01
 1710.0000   30.0000  0.3978E+01  0.9566E+00
 1710.0000   40.0000  0.2587E+01  0.3689E+00
 1710.0000   50.0000  0.1442E+01  0.1645E+00
 1710.0000   60.0000  0.6451E+00  0.2745E+00
 1710.0000   70.0000  0.2142E+00  0.4393E+00
 1710.0000   80.0000  0.8635E-01  0.4357E+00
 1710.0000   90.0000  0.1426E+00  0.2578E+00
 1710.0000  100.0000  0.2723E+00  0.8000E-01
 1710.0000  110.0000  0.4233E+00  0.6540E-01
 1710.0000  120.0000  0.5822E+00  0.2293E+00
 1710.0000  130.0000  0.7200E+00  0.4706E+00
 1710.0000  140.0000  0.7815E+00  0.6876E+00
 1710.0000  150.0000  0.7315E+00  0.8411E+00
 1710.0000  160.0000  0.5977E+00  0.9377E+00
 1710.0000  170.0000  0.4613E+00  0.9913E+00
 1710.0000  179.9000  0.4046E+00  0.1009E+01
 1720.0000    0.1000  0.6528E+01  0.2219E+01
 1720.0000   10.0000  0.6148E+01  0.2010E+01
 1720.0000   20.0000  0.5145E+01  0.1467E+01
 1720.0000   30.0000  0.3840E+01  0.8122E+00
 1720.0000   40.0000  0.2541E+01  0.3219E+00
 1720.0000   50.0000  0.1448E+01  0.1635E+00
 1720.0000   60.0000  0.6654E+00  0.2743E+00
 1720.0000   70.0000  0.2313E+00  0.4184E+00
 1720.0000   80.0000  0.9965E-01  0.4003E+00
 1720.0000   90.0000  0.1527E+00  0.2299E+00
 1720.0000  100.0000  0.2723E+00  0.7472E-01
 1720.0000  110.0000  0.4040E+00  0.7115E-01
 1720.0000  120.0000  0.5421E+00  0.2106E+00
 1720.0000  130.0000  0.6684E+00  0.3968E+00
 1720.0000  140.0000  0.7336E+00  0.5637E+00
 1720.0000  150.0000  0.7011E+00  0.7103E+00
 1720.0000  160.0000  0.5919E+00  0.8493E+00
 1720.0000  170.0000  0.4765E+00  0.9608E+00
 1720.0000  179.9000  0.4281E+00  0.1005E+01
 1730.0000    0.1000  0.6230E+01  0.1846E+01
 1730.0000   10.0000  0.5871E+01  0.1678E+01
 1730.0000   20.0000  0.4928E+01  0.1234E+01
 1730.0000   30.0000  0.3705E+01  0.6916E+00
 1730.0000   40.0000  0.2487E+01  0.2841E+00
 1730.0000   50.0000  0.1446E+01  0.1614E+00
 1730.0000   60.0000  0.6832E+00  0.2692E+00
 1730.0000   70.0000  0.2480E+00  0.3937E+00
 1730.0000   80.0000  0.1117E+00  0.3631E+00
 1730.0000   90.0000  0.1617E+00  0.2010E+00
 1730.0000  100.0000  0.2748E+00  0.6838E-01
 1730.0000  110.0000  0.3926E+00  0.7806E-01
 1730.0000  120.0000  0.5132E+00  0.2002E+00
 1730.0000  130.0000  0.6269E+00  0.3419E+00
 1730.0000  140.0000  0.6922E+00  0.4660E+00
 1730.0000  150.0000  0.6747E+00  0.6029E+00
 1730.0000  160.0000  0.5905E+00  0.7708E+00
 1730.0000  170.0000  0.4989E+00  0.9244E+00
 1730.0000  179.9000  0.4602E+00  0.9877E+00
 1740.0000    0.1000  0.6010E+01  0.1527E+01
 1740.0000   10.0000  0.5660E+01  0.1395E+01
 1740.0000   20.0000  0.4751E+01  0.1039E+01
 1740.0000   30.0000  0.3585E+01  0.5937E+00
 1740.0000   40.0000  0.2430E+01  0.2551E+00
 1740.0000   50.0000  0.1437E+01  0.1599E+00
 1740.0000   60.0000  0.6952E+00  0.2626E+00
 1740.0000   70.0000  0.2610E+00  0.3691E+00
 1740.0000   80.0000  0.1210E+00  0.3279E+00
 1740.0000   90.0000  0.1694E+00  0.1735E+00
 1740.0000  100.0000  0.2794E+00  0.6181E-01
 1740.0000  110.0000  0.3879E+00  0.8540E-01
 1740.0000  120.0000  0.4942E+00  0.1958E+00
 1740.0000  130.0000  0.5955E+00  0.3018E+00
 1740.0000  140.0000  0.6582E+00  0.3900E+00
 1740.0000  150.0000  0.6527E+00  0.5162E+00
 1740.0000  160.0000  0.5922E+00  0.7039E+00
 1740.0000  170.0000  0.5243E+00  0.8880E+00
 1740.0000  179.9000  0.4957E+00  0.9656E+00
 1750.0000    0.1000  0.5870E+01  0.1258E+01
 1750.0000   10.0000  0.5521E+01  0.1157E+01
 1750.0000   20.0000  0.4621E+01  0.8788E+00
 1750.0000   30.0000  0.3484E+01  0.5169E+00
 1750.0000   40.0000  0.2375E+01  0.2348E+00
 1750.0000   50.0000  0.1423E+01  0.1599E+00
 1750.0000   60.0000  0.7005E+00  0.2562E+00
 1750.0000   70.0000  0.2692E+00  0.3468E+00
 1750.0000   80.0000  0.1275E+00  0.2962E+00
 1750.0000   90.0000  0.1763E+00  0.1486E+00
 1750.0000  100.0000  0.2862E+00  0.5564E-01
 1750.0000  110.0000  0.3888E+00  0.9292E-01
 1750.0000  120.0000  0.4834E+00  0.1955E+00
 1750.0000  130.0000  0.5727E+00  0.2730E+00
 1750.0000  140.0000  0.6312E+00  0.3313E+00
 1750.0000  150.0000  0.6350E+00  0.4472E+00
 1750.0000  160.0000  0.5958E+00  0.6483E+00
 1750.0000  170.0000  0.5506E+00  0.8547E+00
 1750.0000  179.9000  0.5318E+00  0.9428E+00
 1760.0000    0.1000  0.5809E+01  0.1033E+01
 1760.0000   10.0000  0.5451E+01  0.9601E+00
 1760.0000   20.0000  0.4537E+01  0.7496E+00
 1760.0000   30.0000  0.3405E+01  0.4588E+00
 1760.0000   40.0000  0.2323E+01  0.2225E+00
 1760.0000   50.0000  0.1403E+01  0.1616E+00
 1760.0000   60.0000  0.6997E+00  0.2506E+00
 1760.0000   70.0000  0.2729E+00  0.3272E+00
 1760.0000   80.0000  0.1317E+00  0.2687E+00
 1760.0000   90.0000  0.1833E+00  0.1268E+00
 1760.0000  100.0000  0.2952E+00  0.5035E-01
 1760.0000  110.0000  0.3943E+00  0.1006E+00
 1760.0000  120.0000  0.4792E+00  0.1983E+00
 1760.0000  130.0000  0.5572E+00  0.2529E+00
 1760.0000  140.0000  0.6102E+00  0.2863E+00
 1760.0000  150.0000  0.6210E+00  0.3928E+00
 1760.0000  160.0000  0.6009E+00  0.6032E+00
 1760.0000  170.0000  0.5769E+00  0.8260E+00
 1760.0000  179.9000  0.5673E+00  0.9219E+00
 1770.0000    0.1000  0.5821E+01  0.8439E+00
 1770.0000   10.0000  0.5446E+01  0.7970E+00
 1770.0000   20.0000  0.4497E+01  0.6470E+00
 1770.0000   30.0000  0.3347E+01  0.4172E+00
 1770.0000   40.0000  0.2275E+01  0.2172E+00
 1770.0000   50.0000  0.1379E+01  0.1651E+00
 1770.0000   60.0000  0.6932E+00  0.2462E+00
 1770.0000   70.0000  0.2729E+00  0.3107E+00
 1770.0000   80.0000  0.1347E+00  0.2455E+00
 1770.0000   90.0000  0.1911E+00  0.1084E+00
 1770.0000  100.0000  0.3068E+00  0.4625E-01
 1770.0000  110.0000  0.4040E+00  0.1086E+00
 1770.0000  120.0000  0.4803E+00  0.2034E+00
 1770.0000  130.0000  0.5474E+00  0.2396E+00
 1770.0000  140.0000  0.5941E+00  0.2523E+00
 1770.0000  150.0000  0.6102E+00  0.3503E+00
 1770.0000  160.0000  0.6072E+00  0.5673E+00
 1770.0000  170.0000  0.6031E+00  0.8022E+00
 1770.0000  179.9000  0.6023E+00  0.9038E+00
 1780.0000    0.1000  0.5902E+01  0.6853E+00
 1780.0000   10.0000  0.5501E+01  0.6620E+00
 1780.0000   20.0000  0.4498E+01  0.5666E+00
 1780.0000   30.0000  0.3307E+01  0.3896E+00
 1780.0000   40.0000  0.2230E+01  0.2181E+00
 1780.0000   50.0000  0.1351E+01  0.1702E+00
 1780.0000   60.0000  0.6818E+00  0.2430E+00
 1780.0000   70.0000  0.2699E+00  0.2970E+00
 1780.0000   80.0000  0.1372E+00  0.2263E+00
 1780.0000   90.0000  0.2004E+00  0.9325E-01
 1780.0000  100.0000  0.3212E+00  0.4362E-01
 1780.0000  110.0000  0.4174E+00  0.1172E+00
 1780.0000  120.0000  0.4860E+00  0.2105E+00
 1780.0000  130.0000  0.5423E+00  0.2318E+00
 1780.0000  140.0000  0.5820E+00  0.2274E+00
 1780.0000  150.0000  0.6017E+00  0.3180E+00
 1780.0000  160.0000  0.6145E+00  0.5394E+00
 1780.0000  170.0000  0.6294E+00  0.7831E+00
 1780.0000  179.9000  0.6373E+00  0.8888E+00
 1790.0000    0.1000  0.6048E+01  0.5512E+00
 1790.0000   10.0000  0.5614E+01  0.5499E+00
 1790.0000   20.0000  0.4537E+01  0.5047E+00
 1790.0000   30.0000  0.3284E+01  0.3738E+00
 1790.0000   40.0000  0.2186E+01  0.2245E+00
 1790.0000   50.0000  0.1318E+01  0.1769E+00
 1790.0000   60.0000  0.6659E+00  0.2408E+00
 1790.0000   70.0000  0.2647E+00  0.2861E+00
 1790.0000   80.0000  0.1402E+00  0.2111E+00
 1790.0000   90.0000  0.2120E+00  0.8153E-01
 1790.0000  100.0000  0.3388E+00  0.4266E-01
 1790.0000  110.0000  0.4345E+00  0.1263E+00
 1790.0000  120.0000  0.4956E+00  0.2193E+00
 1790.0000  130.0000  0.5409E+00  0.2287E+00
 1790.0000  140.0000  0.5726E+00  0.2100E+00
 1790.0000  150.0000  0.5948E+00  0.2941E+00
 1790.0000  160.0000  0.6225E+00  0.5182E+00
 1790.0000  170.0000  0.6563E+00  0.7677E+00
 1790.0000  179.9000  0.6728E+00  0.8763E+00
 1800.0000    0.1000  0.6258E+01  0.4371E+00
 1800.0000   10.0000  0.5781E+01  0.4565E+00
 1800.0000   20.0000  0.4611E+01  0.4579E+00
 1800.0000   30.0000  0.3275E+01  0.3681E+00
 1800.0000   40.0000  0.2143E+01  0.2355E+00
 1800.0000   50.0000  0.1281E+01  0.1849E+00
 1800.0000   60.0000  0.6456E+00  0.2395E+00
 1800.0000   70.0000  0.2582E+00  0.2776E+00
 1800.0000   80.0000  0.1443E+00  0.1997E+00
 1800.0000   90.0000  0.2262E+00  0.7329E-01
 1800.0000  100.0000  0.3599E+00  0.4360E-01
 1800.0000  110.0000  0.4553E+00  0.1363E+00
 1800.0000  120.0000  0.5088E+00  0.2297E+00
 1800.0000  130.0000  0.5423E+00  0.2296E+00
 1800.0000  140.0000  0.5649E+00  0.1993E+00
 1800.0000  150.0000  0.5885E+00  0.2776E+00
 1800.0000  160.0000  0.6309E+00  0.5025E+00
 1800.0000  170.0000  0.6841E+00  0.7552E+00
 1800.0000  179.9000  0.7095E+00  0.8653E+00
 1810.0000    0.1000  0.6529E+01  0.3392E+00
 1810.0000   10.0000  0.6003E+01  0.3785E+00
 1810.0000   20.0000  0.4718E+01  0.4237E+00
 1810.0000   30.0000  0.3278E+01  0.3705E+00
 1810.0000   40.0000  0.2098E+01  0.2503E+00
 1810.0000   50.0000  0.1237E+01  0.1938E+00
 1810.0000   60.0000  0.6211E+00  0.2391E+00
 1810.0000   70.0000  0.2508E+00  0.2715E+00
 1810.0000   80.0000  0.1501E+00  0.1921E+00
 1810.0000   90.0000  0.2433E+00  0.6866E-01
 1810.0000  100.0000  0.3843E+00  0.4670E-01
 1810.0000  110.0000  0.4799E+00  0.1471E+00
 1810.0000  120.0000  0.5255E+00  0.2415E+00
 1810.0000  130.0000  0.5459E+00  0.2342E+00
 1810.0000  140.0000  0.5575E+00  0.1947E+00
 1810.0000  150.0000  0.5816E+00  0.2675E+00
 1810.0000  160.0000  0.6392E+00  0.4912E+00
 1810.0000  170.0000  0.7129E+00  0.7443E+00
 1810.0000  179.9000  0.7480E+00  0.8545E+00
 1820.0000    0.1000  0.6863E+01  0.2552E+00
 1820.0000   10.0000  0.6278E+01  0.3132E+00
 1820.0000   20.0000  0.4857E+01  0.3993E+00
 1820.0000   30.0000  0.3291E+01  0.3789E+00
 1820.0000   40.0000  0.2049E+01  0.2676E+00
 1820.0000   50.0000  0.1186E+01  0.2032E+00
 1820.0000   60.0000  0.5921E+00  0.2390E+00
 1820.0000   70.0000  0.2430E+00  0.2673E+00
 1820.0000   80.0000  0.1578E+00  0.1880E+00
 1820.0000   90.0000  0.2632E+00  0.6784E-01
 1820.0000  100.0000  0.4122E+00  0.5220E-01
 1820.0000  110.0000  0.5082E+00  0.1590E+00
 1820.0000  120.0000  0.5454E+00  0.2546E+00
 1820.0000  130.0000  0.5510E+00  0.2422E+00
 1820.0000  140.0000  0.5493E+00  0.1954E+00
 1820.0000  150.0000  0.5725E+00  0.2628E+00
 1820.0000  160.0000  0.6460E+00  0.4830E+00
 1820.0000  170.0000  0.7423E+00  0.7332E+00
 1820.0000  179.9000  0.7880E+00  0.8422E+00
 1830.0000    0.1000  0.7257E+01  0.1836E+00
 1830.0000   10.0000  0.6604E+01  0.2589E+00
 1830.0000   20.0000  0.5027E+01  0.3824E+00
 1830.0000   30.0000  0.3312E+01  0.3913E+00
 1830.0000   40.0000  0.1994E+01  0.2861E+00
 1830.0000   50.0000  0.1126E+01  0.2125E+00
 1830.0000   60.0000  0.5585E+00  0.2390E+00
 1830.0000   70.0000  0.2350E+00  0.2648E+00
 1830.0000   80.0000  0.1674E+00  0.1875E+00
 1830.0000   90.0000  0.2854E+00  0.7096E-01
 1830.0000  100.0000  0.4427E+00  0.6029E-01
 1830.0000  110.0000  0.5400E+00  0.1717E+00
 1830.0000  120.0000  0.5685E+00  0.2686E+00
 1830.0000  130.0000  0.5569E+00  0.2531E+00
 1830.0000  140.0000  0.5387E+00  0.2010E+00
 1830.0000  150.0000  0.5595E+00  0.2626E+00
 1830.0000  160.0000  0.6501E+00  0.4764E+00
 1830.0000  170.0000  0.7713E+00  0.7204E+00
 1830.0000  179.9000  0.8288E+00  0.8266E+00
 1840.0000    0.1000  0.7705E+01  0.1238E+00
 1840.0000   10.0000  0.6976E+01  0.2145E+00
 1840.0000   20.0000  0.5223E+01  0.3710E+00
 1840.0000   30.0000  0.3338E+01  0.4050E+00
 1840.0000   40.0000  0.1932E+01  0.3039E+00
 1840.0000   50.0000  0.1057E+01  0.2206E+00
 1840.0000   60.0000  0.5199E+00  0.2385E+00
 1840.0000   70.0000  0.2268E+00  0.2634E+00
 1840.0000   80.0000  0.1786E+00  0.1900E+00
 1840.0000   90.0000  0.3089E+00  0.7802E-01
 1840.0000  100.0000  0.4748E+00  0.7100E-01
 1840.0000  110.0000  0.5745E+00  0.1851E+00
 1840.0000  120.0000  0.5941E+00  0.2829E+00
 1840.0000  130.0000  0.5628E+00  0.2662E+00
 1840.0000  140.0000  0.5245E+00  0.2107E+00
 1840.0000  150.0000  0.5410E+00  0.2658E+00
 1840.0000  160.0000  0.6496E+00  0.4696E+00
 1840.0000  170.0000  0.7981E+00  0.7034E+00
 1840.0000  179.9000  0.8686E+00  0.8052E+00
 1850.0000    0.1000  0.8194E+01  0.7652E-01
 1850.0000   10.0000  0.7383E+01  0.1796E+00
 1850.0000   20.0000  0.5438E+01  0.3631E+00
 1850.0000   30.0000  0.3368E+01  0.4177E+00
 1850.0000   40.0000  0.1863E+01  0.3192E+00
 1850.0000   50.0000  0.9790E+00  0.2267E+00
 1850.0000   60.0000  0.4765E+00  0.2367E+00
 1850.0000   70.0000  0.2183E+00  0.2622E+00
 1850.0000   80.0000  0.1906E+00  0.1951E+00
 1850.0000   90.0000  0.3323E+00  0.8875E-01
 1850.0000  100.0000  0.5067E+00  0.8407E-01
 1850.0000  110.0000  0.6099E+00  0.1985E+00
 1850.0000  120.0000  0.6212E+00  0.2966E+00
 1850.0000  130.0000  0.5679E+00  0.2806E+00
 1850.0000  140.0000  0.5058E+00  0.2234E+00
 1850.0000  150.0000  0.5156E+00  0.2709E+00
 1850.0000  160.0000  0.6425E+00  0.4608E+00
 1850.0000  170.0000  0.8200E+00  0.6802E+00
 1850.0000  179.9000  0.9045E+00  0.7757E+00
 1860.0000    0.1000  0.8697E+01  0.4300E-01
 1860.0000   10.0000  0.7802E+01  0.1548E+00
 1860.0000   20.0000  0.5661E+01  0.3573E+00
 1860.0000   30.0000  0.3396E+01  0.4268E+00
 1860.0000   40.0000  0.1786E+01  0.3301E+00
 1860.0000   50.0000  0.8932E+00  0.2295E+00
 1860.0000   60.0000  0.4291E+00  0.2329E+00
 1860.0000   70.0000  0.2093E+00  0.2605E+00
 1860.0000   80.0000  0.2025E+00  0.2018E+00
 1860.0000   90.0000  0.3537E+00  0.1025E+00
 1860.0000  100.0000  0.5360E+00  0.9893E-01
