    W        Theta    pi0-p       pip-n
 1160.0000   40.0000  0.1578E+00  0.2846E+00
 1160.0000   50.0000  0.1308E+00  0.2752E+00
 1160.0000   60.0000  0.1058E+00  0.2683E+00
 1160.0000   70.0000  0.8405E-01  0.2654E+00
 1160.0000   80.0000  0.6617E-01  0.2675E+00
 1160.0000   90.0000  0.5202E-01  0.2752E+00
 1160.0000  100.0000  0.4110E-01  0.2888E+00
 1160.0000  110.0000  0.3273E-01  0.3080E+00
 1160.0000  120.0000  0.2618E-01  0.3319E+00
 1160.0000  130.0000  0.2082E-01  0.3589E+00
 1160.0000  140.0000  0.1623E-01  0.3867E+00
 1160.0000  150.0000  0.1226E-01  0.4127E+00
 1160.0000  160.0000  0.9059E-02  0.4340E+00
 1160.0000  170.0000  0.6927E-02  0.4479E+00
 1160.0000  179.9000  0.6174E-02  0.4528E+00
 1170.0000    0.1000  0.2580E+00  0.3342E+00
 1170.0000   10.0000  0.2518E+00  0.3311E+00
 1170.0000   20.0000  0.2345E+00  0.3223E+00
 1170.0000   30.0000  0.2090E+00  0.3095E+00
 1170.0000   40.0000  0.1795E+00  0.2949E+00
 1170.0000   50.0000  0.1495E+00  0.2809E+00
 1170.0000   60.0000  0.1217E+00  0.2698E+00
 1170.0000   70.0000  0.9757E-01  0.2633E+00
 1170.0000   80.0000  0.7763E-01  0.2626E+00
 1170.0000   90.0000  0.6167E-01  0.2683E+00
 1170.0000  100.0000  0.4915E-01  0.2809E+00
 1170.0000  110.0000  0.3934E-01  0.2999E+00
 1170.0000  120.0000  0.3150E-01  0.3245E+00
 1170.0000  130.0000  0.2496E-01  0.3530E+00
 1170.0000  140.0000  0.1927E-01  0.3830E+00
 1170.0000  150.0000  0.1430E-01  0.4113E+00
 1170.0000  160.0000  0.1023E-01  0.4347E+00
 1170.0000  170.0000  0.7514E-02  0.4502E+00
 1170.0000  179.9000  0.6551E-02  0.4556E+00
 1180.0000    0.1000  0.2857E+00  0.3603E+00
 1180.0000   10.0000  0.2788E+00  0.3562E+00
 1180.0000   20.0000  0.2597E+00  0.3445E+00
 1180.0000   30.0000  0.2318E+00  0.3274E+00
 1180.0000   40.0000  0.1996E+00  0.3078E+00
 1180.0000   50.0000  0.1671E+00  0.2887E+00
 1180.0000   60.0000  0.1372E+00  0.2729E+00
 1180.0000   70.0000  0.1111E+00  0.2623E+00
 1180.0000   80.0000  0.8942E-01  0.2584E+00
 1180.0000   90.0000  0.7179E-01  0.2618E+00
 1180.0000  100.0000  0.5768E-01  0.2729E+00
 1180.0000  110.0000  0.4642E-01  0.2913E+00
 1180.0000  120.0000  0.3726E-01  0.3162E+00
 1180.0000  130.0000  0.2952E-01  0.3458E+00
 1180.0000  140.0000  0.2273E-01  0.3775E+00
 1180.0000  150.0000  0.1673E-01  0.4078E+00
 1180.0000  160.0000  0.1180E-01  0.4332E+00
 1180.0000  170.0000  0.8482E-02  0.4500E+00
 1180.0000  179.9000  0.7303E-02  0.4559E+00
 1190.0000    0.1000  0.3097E+00  0.3908E+00
 1190.0000   10.0000  0.3023E+00  0.3854E+00
 1190.0000   20.0000  0.2817E+00  0.3705E+00
